url,jurisdiction,case_id,title,decision_year,nace_code,nace_label,companies,legal_basis,companies_normalized,docx_path
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-du-fonds-de-5,French,23-DCC-224,relative à la prise de contrôle exclusif du fonds de commerce Stellantis & You le Havre par le groupe Legrand,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Stellantis & You Le Havre', 'Groupe Legrand']",Merger,"[""stellantis & you le havre"", ""groupe legrand""]",relative-la-prise-de-controle-exclusif-du-fonds-de-5.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-laffiliation-de-la-sgam-agpm-groupe-et-de-la-sgam,French,23-DCC-231,relative à l’affiliation de la SGAM AGPM Groupe et de la SGAM Klesia Assurances à la société AGPM Klesia nouvellement créée,2023,K,Financial and Insurance Activities,"[""AGPM Klesia"", ""SGAM AGPM Groupe"", ""SGAM Klesia Assurances""]",Merger,"[""agpm klesia"", ""sgam agpm"", ""sgam klesia assurances""]",relative-laffiliation-de-la-sgam-agpm-groupe-et-de-la-sgam.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-creation-de-lentreprise-commune-cashmire-par,French,23-DCC-232,relative à la création de l’entreprise commune Cashmire par les sociétés Niconos et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""société  Cashmire"", ""Niconos"", ""ITM Entreprises""]",Merger,"[""societe cashmire"", ""niconos"", ""itm entreprises""]",relative-la-creation-de-lentreprise-commune-cashmire-par.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-dactifs-de-la-9,French,23-DCC-228,relative à la prise de contrôle exclusif d’actifs de la société Nutréa par le groupe Terrena,2023,A,"Agriculture, Forestry and Fishing","['actifs de la société Nutréa', 'groupe Terrena']",Merger,"[""actifs de la societe nutrea"", ""groupe terrena""]",relative-la-prise-de-controle-exclusif-dactifs-de-la-9.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-par-primeo-energie,French,23-DCC-237,relative à la prise de contrôle exclusif par Primeo Energie France d'actifs appartenant à la société Solvay Energy Services,2023,D,"Electricity, Gas, Steam and Air Conditioning Supply","['actifs appartenant à Solvay Energy Services', 'Primeo Energie France']",Merger,"[""actifs appartenant a solvay energy services"", ""primeo energie""]",relative-la-prise-de-controle-exclusif-par-primeo-energie.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-du-groupe-synchrone,French,23-DCC-230,relative à la prise de contrôle exclusif du groupe Synchrone par Naxicap Partners,2023,J,Information and Communication,"['groupe Synchrone', 'Naxicap Partners']",Merger,"[""groupe synchrone"", ""naxicap partners""]",relative-la-prise-de-controle-exclusif-du-groupe-synchrone.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-nutrea,French,23-DCC-227,relative à la prise de contrôle exclusif de la société Nutréa par le groupe Eureden,2023,A,"Agriculture, Forestry and Fishing","['Nutréa', 'Groupe Eureden']",Merger,"[""nutrea"", ""groupe eureden""]",relative-la-prise-de-controle-exclusif-de-la-societe-nutrea.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-societes-du-0,French,23-DCC-238,relative à la prise de contrôle exclusif de sociétés du groupe Tousports par le groupe Schiever,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['sociétés du groupe Tousports', 'groupe Schiever']",Merger,"[""societes du groupe tousports"", ""groupe schiever""]",relative-la-prise-de-controle-exclusif-de-societes-du-0.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-josama,French,23-DCC-239,relative à la prise de contrôle conjoint de la société Josama par les sociétés Jelonezoma et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Josama"", ""Jelonezoma"", ""ITM Entreprises""]",Merger,"[""josama"", ""jelonezoma"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-josama.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-des-societes-alsapan,French,23-DCC-235,"relative à la prise de contrôle exclusif des sociétés Alsapan, Elsa Profil et Diamonde par la société Strub",2023,C,Manufacturing,"['Alsapan', 'Diamonde', 'Elsa Profil', 'Strub']",Merger,"[""alsapan"", ""diamonde"", ""elsa profil"", ""strub""]",relative-la-prise-de-controle-exclusif-des-societes-alsapan.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-sodak,French,23-DCC-236,relative à la prise de contrôle exclusif de la société Sodak par la société Socipar,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['société Sodak', 'société Socipar']",Merger,"[""societe sodak"", ""societe socipar""]",relative-la-prise-de-controle-exclusif-de-la-societe-sodak.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-gicur,French,23-DCC-241,relative à la prise de contrôle conjoint de la société Gicur par les sociétés Tivalou et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Gicur"", ""Tivalou"", ""ITM Entreprises""]",Merger,"[""gicur"", ""tivalou"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-gicur.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-deroge,French,23-DCC-242,relative à la prise de contrôle conjoint de la société Déroge par les sociétés Nirisiens et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""société Deroge"", ""Nirisiens"", ""ITM Entreprises""]",Merger,"[""societe deroge"", ""nirisiens"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-deroge.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-body,French,23-DCC-244,relative à la prise de contrôle exclusif de la société The Body Shop par la société Aurelius,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['The Body Shop', 'société Aurelius']",Merger,"[""the body shop"", ""societe aurelius""]",relative-la-prise-de-controle-exclusif-de-la-societe-body.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-gwen-0,French,23-DCC-245,relative à la prise de contrôle conjoint de la société Gwen Ran par les sociétés Akerdis et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Gwen Ran"", ""Akerdis"", ""ITM entreprises""]",Merger,"[""gwen ran"", ""akerdis"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-gwen-0.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-des-societes-elysee,French,23-DCC-248,"relative à la prise de contrôle exclusif des sociétés Élysée Automobiles, Élysée Est Autos et Élysée Automobiles 77 par le groupe Emil Frey",2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Élysée Automobiles', 'Élysée Est Autos', 'Élysée Automobiles 77', 'Groupe Emil Frey']",Merger,"[""elysee automobiles"", ""elysee est autos"", ""elysee automobiles 77"", ""groupe emil frey""]",relative-la-prise-de-controle-exclusif-des-societes-elysee.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-419,French,23-DCC-246,relative à la prise de contrôle exclusif de la société Territoria mutuelle par le groupe Apicil,2023,K,Financial and Insurance Activities,"['Territoria mutuelle', 'Groupe Apicil']",Merger,"[""territoria mutuelle"", ""groupe apicil""]",relative-la-prise-de-controle-exclusif-de-la-societe-419.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-418,French,23-DCC-240,relative à la prise de contrôle exclusif de la société Valmotors par la société JPC Évolution,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Valmotors', 'JPC Évolution']",Merger,"[""valmotors"", ""jpc evolution""]",relative-la-prise-de-controle-exclusif-de-la-societe-418.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-nyacha,French,23-DCC-247,relative à la prise de contrôle conjoint de la société Nyacha par les sociétés Merivale et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Nyacha"", ""Merivale"", ""ITM Entreprises""]",Merger,"[""nyacha"", ""merivale"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-nyacha.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-dactifs-3,French,23-DCC-250,"relative à la prise de contrôle conjoint d'actifs immobiliers par les sociétés Logial-Coop, Arcade-VYV et la ville du Kremlin-Bicêtre",2023,N,Administrative and Support Service Activities,"['actifs immobiliers', 'Sociétés Logial-Coop, Arcade-VYV et la Ville du Kremlin-Bicêtre']",Merger,"[""actifs immobiliers"", ""societes logial-coop, arcade-vyv et la ville du kremlin-bicetre""]",relative-la-prise-de-controle-conjoint-dactifs-3.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-trois-fonds-de-6,French,23-DCC-252,relative à la prise de contrôle exclusif de trois fonds de commerce de distribution automobiles par le groupe Amplitude,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Vista Automobiles', 'Groupe Amplitude']",Merger,"[""vista automobiles"", ""groupe amplitude""]",relative-la-prise-de-controle-exclusif-de-trois-fonds-de-6.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-420,French,23-DCC-254,relative à la prise de contrôle exclusif de la société Établissements H. Cormier par la société GCA Investissements,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Établissements H. Cormier', 'GCA Investissements']",Merger,"[""etablissements h. cormier"", ""gca investissements""]",relative-la-prise-de-controle-exclusif-de-la-societe-420.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-pbs,French,23-DCC-243,relative à la prise de contrôle exclusif de la société PBS Auto par la société Socipar,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['PBS Auto', 'Socipar']",Merger,"[""pbs auto"", ""socipar""]",relative-la-prise-de-controle-exclusif-de-la-societe-pbs.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-alpha,French,23-DCC-249,relative à la prise de contrôle conjoint de la société Alpha Park par la Caisse des Dépôts et Consignations et la société Atland,2023,N,Administrative and Support Service Activities,"[""Alpha Park"", ""Caisse des Dépôts"", ""Consignations"", ""Atland""]",Merger,"[""alpha park"", ""caisse des depots"", ""consignations"", ""atland""]",relative-la-prise-de-controle-conjoint-de-la-societe-alpha.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-de-plusieurs-societes-du,French,23-DCC-259,relative à la prise de contrôle de plusieurs sociétés du groupe Somesfi par la société Prim@ever,2023,H,Transportation and Storage,"['plusieurs sociétés du groupe Somesfi', 'société Prim@ever']",Merger,"[""plusieurs societes du groupe somesfi"", ""societe prim@ever""]",relative-la-prise-de-controle-de-plusieurs-societes-du.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-du-groupe-volatys,French,23-DCC-263,relative à la prise de contrôle exclusif du groupe Volatys par le groupe Terrena,2023,A,"Agriculture, Forestry and Fishing","['Groupe Volatys', 'Groupe Terrena']",Merger,"[""groupe volatys"", ""groupe terrena""]",relative-la-prise-de-controle-exclusif-du-groupe-volatys.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-218,French,23-DCC-255,"relative à la prise de contrôle conjoint de la société Claidistri par les sociétés Claipie, Clinvest et ITM Entreprises",2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Claidistri"", ""Claipie, Clinvest"", ""ITM Entreprises""]",Merger,"[""claidistri"", ""claipie, clinvest"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-218.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-du-groupe-efeso-par,French,23-DCC-260,relative à la prise de contrôle conjoint du groupe Efeso par la société TowerBrook Capital Partners et le groupe Eurazeo,2023,N,Administrative and Support Service Activities,"[""Groupe Efeso"", ""TowerBrook Capital Partners"", ""Groupe Eurazeo""]",Merger,"[""groupe efeso"", ""towerbrook capital partners"", ""groupe eurazeo""]",relative-la-prise-de-controle-conjoint-du-groupe-efeso-par.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-220,French,23-DCC-262,relative à la prise de contrôle conjoint de la société Amarylis par les sociétés Darlenne et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Amarylis"", ""Darlenne"", ""ITM Entreprises""]",Merger,"[""amarylis"", ""darlenne"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-220.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-societes-du-1,French,23-DCC-257,relative à la prise de contrôle exclusif de sociétés du groupe Ideal Standard par le groupe Villeroy & Boch,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Groupe Ideal Standard', 'Groupe Villeroy & Boch']",Merger,"[""groupe ideal standard"", ""groupe villeroy & boch""]",relative-la-prise-de-controle-exclusif-de-societes-du-1.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-dun-fonds-de-39,French,23-DCC-264,relative à la prise de contrôle exclusif d’un fonds de commerce de distribution automobile situé à Dunkerque (59) par le groupe Sofida,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['un fonds de commerce de distribution automobile situé à Dunkerque (59)', 'Groupe Sofida']",Merger,"[""un fonds de commerce de distribution automobile situe a dunkerque (59)"", ""groupe sofida""]",relative-la-prise-de-controle-exclusif-dun-fonds-de-39.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-creation-dune-entreprise-commune-par-la-caisse,French,23-DCC-256,"relative à la création d’une entreprise commune par la Caisse des dépôts et consignations, CDC Habitat et la société Frey Aménagement et Promotion",2023,N,Administrative and Support Service Activities,"[""création d’une entreprise commune"", ""Caisse des dépôts et consignations, CDC Habitat"", ""Frey Aménagement et Promotion""]",Merger,"[""creation d’une entreprise commune"", ""caisse des depots et consignations, cdc habitat"", ""frey amenagement et promotion""]",relative-la-creation-dune-entreprise-commune-par-la-caisse.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-219,French,23-DCC-261,relative à la prise de contrôle conjoint de la société Urblet par les sociétés Jagla et ITM Entreprises,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Urblet"", ""Jagla"", ""ITM Entreprises""]",Merger,"[""urblet"", ""jagla"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-219.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-423,French,23-DCC-266,relative à la prise de contrôle exclusif de la société Manusdei-Gp- Palizzotto par le groupe Carrefour,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Manusdei-Gp-Palizzotto', 'Groupe Carrefour']",Merger,"[""manusdei-gp-palizzotto"", ""carrefour""]",relative-la-prise-de-controle-exclusif-de-la-societe-423.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-422,French,23-DCC-251,relative à la prise de contrôle exclusif de la société Sodilim par le groupe Carrefour,2023,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Sodilim', 'Groupe Carrefour']",Merger,"[""sodilim"", ""carrefour""]",relative-la-prise-de-controle-exclusif-de-la-societe-422.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-421,French,23-DCC-265,relative à la prise de contrôle exclusif de la société UltraEdge par la société Morgan Stanley,2023,J,Information and Communication,"['UltraEdge', 'Morgan Stanley']",Merger,"[""ultraedge"", ""morgan stanley""]",relative-la-prise-de-controle-exclusif-de-la-societe-421.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-du-groupe-european,French,23-DCC-258,relative à la prise de contrôle conjoint du groupe European Digital Group par Montefiore Investment et Latour Capital Management,2023,J,Information and Communication,"[""Groupe European Digital Group"", ""Montefiore Investment"", ""Latour Capital Management""]",Merger,"[""groupe european digital"", ""montefiore investment"", ""latour capital management""]",relative-la-prise-de-controle-conjoint-du-groupe-european.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-61-magasins,French,24-DCC-02,relative à la prise de contrôle exclusif de 61 magasins anciennement sous enseigne Casino par la société ITM Entreprises,2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['61 magasins anciennement sous enseigne Casino', 'ITM Entreprises']",Merger,"[""61 magasins anciennement sous enseigne casino"", ""itm entreprises""]",relative-la-prise-de-controle-exclusif-de-61-magasins.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-424,French,24-DCC-01,relative à la prise de contrôle exclusif de la société Stordata par la société Edmond de Rothschild Private Equity,2024,J,Information and Communication,"['Stordata', 'Edmond de Rothschild Private Equity']",Merger,"[""stordata"", ""edmond de rothschild private equity""]",relative-la-prise-de-controle-exclusif-de-la-societe-424.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-des-societes-ocs-et,French,24-DCC-04,relative à la prise de contrôle exclusif des sociétés OCS et Orange Studio par Groupe Canal Plus (Bolloré),2024,J,Information and Communication,"['OCS', 'Orange Studio', 'Groupe Canal Plus (Bolloré)']",Merger,"[""ocs"", ""orange studio"", ""groupe canal plus (bollore)""]",relative-la-prise-de-controle-exclusif-des-societes-ocs-et.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-nogent,French,24-DCC-03,relative à la prise de contrôle conjoint de la société Nogent Distribution par les sociétés Ardilla et ITM Entreprises,2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Nogent Distribution"", ""Ardilla"", ""ITM Entreprises""]",Merger,"[""nogent distribution"", ""ardilla"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-nogent.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-425,French,24-DCC-08,relative à la prise de contrôle exclusif de la société Établissements Charles Lestringuez par la société Trigano,2024,I,Accommodation and Food Service Activities,"['Etablissements Charles Lestringuez', 'société Trigano']",Merger,"[""etablissements charles lestringuez"", ""societe trigano""]",relative-la-prise-de-controle-exclusif-de-la-societe-425.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-des-societes-savy-21,French,24-DCC-09,"relative à la prise de contrôle exclusif des sociétés Savy 21, Savy Chalon sur Saône, Savy Chaumont, Savy Moto Dijon et Savy Troyes par la société CAR Avenue France",2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Savy Moto Dijon', 'Savy Chalon sur Saône', 'Savy 21', 'Savy Troyes', 'Savy Chaumont', 'société Car Avenue France']",Merger,"[""savy moto dijon"", ""savy chalon sur saone"", ""savy 21"", ""savy troyes"", ""savy chaumont"", ""societe car avenue""]",relative-la-prise-de-controle-exclusif-des-societes-savy-21.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-du-groupe-unanime,French,24-DCC-06,relative à la prise de contrôle exclusif du groupe Unanime Sport par le groupe Crestview,2024,F,Construction,"['Groupe Unanime Sport', 'Groupe Crestview']",Merger,"[""groupe unanime sport"", ""groupe crestview""]",relative-la-prise-de-controle-exclusif-du-groupe-unanime.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-du-controle-exclusif-de-la-societe-sade,French,24-DCC-07,relative à la prise du contrôle exclusif de la société SADE CGTH par le groupe NGE,2024,F,Construction,"['Groupe SADE CGTH', 'Groupe NGE']",Merger,"[""groupe sade cgth"", ""groupe nge""]",relative-la-prise-du-controle-exclusif-de-la-societe-sade.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-426,French,24-DCC-12,relative à la prise de contrôle exclusif de la société Cogedal par le groupe Urcoopa,2024,A,"Agriculture, Forestry and Fishing","['Cogedal', 'Groupe Urcoopa']",Merger,"[""cogedal"", ""groupe urcoopa""]",relative-la-prise-de-controle-exclusif-de-la-societe-426.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-sept-fonds-de-1,French,24-DCC-15,relative à la prise de contrôle exclusif de sept fonds de commerce exploités par la société Go Sport France par le groupe Prosport,2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Go Sport France', 'Groupe Prosport']",Merger,"[""go sport"", ""groupe prosport""]",relative-la-prise-de-controle-exclusif-de-sept-fonds-de-1.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-sept-fonds-de-0,French,24-DCC-14,relative à la prise de contrôle exclusif de sept fonds de commerce exploités par la société Go Sport France par le groupe Solig,2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Go Sport France', 'Groupe Solig']",Merger,"[""go sport"", ""groupe solig""]",relative-la-prise-de-controle-exclusif-de-sept-fonds-de-0.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-trois-fonds-de-7,French,24-DCC-13,relative à la prise de contrôle exclusif de trois fonds de commerce exploités par la société Go Sport France par le groupe Holding Famille Vinet,2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Go Sport France', 'groupe Holding Famille Vinet']",Merger,"[""go sport"", ""groupe holding famille vinet""]",relative-la-prise-de-controle-exclusif-de-trois-fonds-de-7.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-dun-fonds-de-33,French,24-DCC-10,"relative à la prise de contrôle conjoint d’un fonds de commerce sous enseigne « Carrefour Market », situé à Toulon, par le groupe Tressol aux côtés du groupe Carrefour",2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""un fonds de commerce sous enseigne Carrefour Market"", ""Groupe Tressol"", ""groupe Carrefour""]",Merger,"[""un fonds de commerce sous enseigne carrefour market"", ""groupe tressol"", ""carrefour""]",relative-la-prise-de-controle-conjoint-dun-fonds-de-33.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-la-societe-sscp-0,French,24-DCC-17,relative à la prise de contrôle exclusif de la société SSCP Aero TopCo par le groupe Motherson,2024,C,Manufacturing,"['SSCP Aero TopCo', 'Groupe Motherson']",Merger,"[""sscp aero topco"", ""groupe motherson""]",relative-la-prise-de-controle-exclusif-de-la-societe-sscp-0.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-du-groupe-iziwork,French,24-DCC-18,relative à la prise de contrôle exclusif du groupe Iziwork par le groupe Proman,2024,N,Administrative and Support Service Activities,"['Groupe Iziwork', 'Groupe Proman']",Merger,"[""groupe iziwork"", ""groupe proman""]",relative-la-prise-de-controle-exclusif-du-groupe-iziwork.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-des-societes-56,French,24-DCC-11,"relative à la prise de contrôle exclusif des sociétés Centre auto SBH, Turbe car rental et Turbe car rental II par la société Socipar",2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"['Turbe Car Rental II', 'Turbe Car Rental', 'Centre Auto SBH', 'Socipar']",Merger,"[""turbe car rental ii"", ""turbe car rental"", ""centre auto sbh"", ""socipar""]",relative-la-prise-de-controle-exclusif-des-societes-56.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-de-la-societe-221,French,24-DCC-20,relative à la prise de contrôle conjoint de la société Leonelie par les sociétés Thoronilf et ITM Entreprises,2024,G,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"[""Leonelie"", ""Thoronilf"", ""ITM entreprises""]",Merger,"[""leonelie"", ""thoronilf"", ""itm entreprises""]",relative-la-prise-de-controle-conjoint-de-la-societe-221.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-de-lhotel-pullman,French,24-DCC-16,relative à la prise de contrôle exclusif de l'Hôtel Pullman Paris Tour Eiffel par la société Morgan Stanley,2024,I,Accommodation and Food Service Activities,"['Hôtel Pullman Paris Tour Eiffel', 'Morgan Stanley']",Merger,"[""hotel pullman paris tour eiffel"", ""morgan stanley""]",relative-la-prise-de-controle-exclusif-de-lhotel-pullman.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-conjoint-du-groupe-moma-par,French,24-DCC-23,relative à la prise de contrôle conjoint du groupe Moma par Butler Industries et le groupe Patou,2024,I,Accommodation and Food Service Activities,"[""Groupe Moma"", ""Butler Industries"", ""le groupe Patou""]",Merger,"[""groupe moma"", ""butler industries"", ""le groupe patou""]",relative-la-prise-de-controle-conjoint-du-groupe-moma-par.docx
https://www.autoritedelaconcurrence.fr/fr/decision-de-controle-des-concentrations/relative-la-prise-de-controle-exclusif-des-societes-57,French,24-DCC-21,relative à la prise de contrôle exclusif des sociétés Comcentre par Bouygues Telecom,2024,N,Administrative and Support Service Activities,"['Comcentre', 'Bouygues Telecom']",Merger,"[""comcentre"", ""bouygues telecom""]",relative-la-prise-de-controle-exclusif-des-societes-57.docx
